Model,Seed,Horizon_h,RMSE,R2
PG_LSTM,42,1,5.509635365237223,0.9859697060195544
PG_LSTM,42,6,5.329026650683211,0.9868586565139774
PG_LSTM,42,24,5.389487589395128,0.9865617714992955
PG_LSTM,42,72,5.391782440869916,0.9865585409390817
PG_LSTM,42,168,5.398971544054779,0.9865264653698561
PG_LSTM,123,1,5.459567740718607,0.9862235419639382
PG_LSTM,123,6,5.307035718400445,0.9869668917077921
PG_LSTM,123,24,5.3638747140646075,0.9866891950442296
PG_LSTM,123,72,5.366069302817164,0.9866864385199271
PG_LSTM,123,168,5.3734635432319955,0.986653478837814
PG_LSTM,456,1,5.494750480064286,0.9860454123775403
PG_LSTM,456,6,5.330714071910897,0.9868503328578071
PG_LSTM,456,24,5.397849107945127,0.9865200416841456
PG_LSTM,456,72,5.399387157394436,0.9865205978014194
PG_LSTM,456,168,5.404597909851134,0.9864983687096979
Vanilla_LSTM,42,1,5.482614150240989,0.9861069876747154
Vanilla_LSTM,42,6,5.301924025267985,0.9869919863817929
Vanilla_LSTM,42,24,5.363326795598843,0.9866919142961572
Vanilla_LSTM,42,72,5.365421083588127,0.9866896548724614
Vanilla_LSTM,42,168,5.372478685337032,0.986658370737448
Vanilla_LSTM,123,1,5.408883500608744,0.9864781438735823
Vanilla_LSTM,123,6,5.258623636371743,0.9872035895766246
Vanilla_LSTM,123,24,5.323378302132438,0.9868894253017139
Vanilla_LSTM,123,72,5.3244207643078445,0.9868923018880877
Vanilla_LSTM,123,168,5.33135903319666,0.986861816390138
Vanilla_LSTM,456,1,5.45814017666896,0.9862307455397267
Vanilla_LSTM,456,6,5.2961974311116915,0.987020071048913
Vanilla_LSTM,456,24,5.363378765315167,0.9866916563887741
Vanilla_LSTM,456,72,5.364611777641558,0.9866936699642406
Vanilla_LSTM,456,168,5.369780098427906,0.9866717703266966
