t_saat,AN_SO2,AN_SF,AN_SA,AN_SNH4,AN_SNO3,AN_SPO4,AN_SALK,AN_SN2,AN_XI,AN_XS,AN_XH,AN_XPAO,AN_XPP,AN_XPHA,AN_XAUT,AN_XTSS,AN_XMeOH,AN_XMeP,AX_SO2,AX_SF,AX_SA,AX_SNH4,AX_SNO3,AX_SPO4,AX_SALK,AX_SN2,AX_XI,AX_XS,AX_XH,AX_XPAO,AX_XPP,AX_XPHA,AX_XAUT,AX_XTSS,AX_XMeOH,AX_XMeP,AE_SO2,AE_SF,AE_SA,AE_SNH4,AE_SNO3,AE_SPO4,AE_SALK,AE_SN2,AE_XI,AE_XS,AE_XH,AE_XPAO,AE_XPP,AE_XPHA,AE_XAUT,AE_XTSS,AE_XMeOH,AE_XMeP
0,0.0,2.748,15.291,30.016,0.002,32.927,5.815,26.342,1788.944,186.133,1493.575,971.527,126.919,90.29,107.741,4467.046,6.98,167.273,0.0,0.834,0.476,13.12,1.273,8.468,5.333,35.066,1780.171,116.558,1514.629,982.241,151.944,37.519,108.365,4482.544,14.683,155.395,6.038,0.57,0.023,3.137,8.739,0.253,4.327,34.843,1773.696,84.138,1523.31,986.319,161.603,11.182,109.266,4476.938,22.982,142.991
1,0.0,2.583,15.799,30.419,0.002,35.503,5.862,26.664,1792.077,197.225,1488.843,971.428,124.34,97.538,107.829,4469.64,6.06,168.51,0.0,0.837,0.445,14.209,1.135,8.131,5.298,36.26,1782.646,123.05,1512.051,983.036,152.322,38.324,108.477,4489.423,14.303,155.873,4.314,0.592,0.018,3.646,9.844,0.178,4.106,35.707,1775.513,87.898,1521.355,987.296,161.753,10.359,109.521,4480.222,22.979,142.905
2,0.0,3.201,17.733,29.873,0.002,36.293,5.819,27.102,1795.221,206.391,1486.271,971.889,123.663,99.476,108.013,4475.927,6.214,168.316,0.0,0.881,0.483,14.202,1.583,8.821,5.2,37.074,1784.992,128.315,1510.036,983.666,151.663,40.291,108.68,4493.009,14.06,156.151,4.134,0.607,0.023,4.079,10.213,0.239,4.006,36.738,1777.782,92.133,1519.399,987.902,161.7,11.676,109.701,4484.617,22.589,143.388
3,0.0,4.893,27.694,31.86,0.003,30.186,5.805,27.607,1798.824,221.107,1489.394,974.762,130.297,86.525,108.338,4508.271,7.946,166.023,0.0,1.154,0.895,15.69,1.778,9.175,5.174,37.07,1788.701,143.146,1511.24,984.856,151.396,42.749,108.969,4509.962,13.855,156.554,3.573,0.695,0.05,6.781,8.764,0.368,4.215,37.299,1782.539,108.418,1518.201,989.347,161.204,17.988,109.786,4503.915,20.177,146.991
4,0.0,6.053,34.667,31.236,0.003,27.225,5.767,27.85,1803.436,239.482,1494.165,977.902,134.097,82.37,108.604,4542.516,8.603,165.417,0.0,1.405,1.337,18.077,1.015,9.173,5.27,37.205,1793.77,162.768,1516.234,987.016,151.727,46.056,109.211,4538.419,13.59,157.234,3.306,0.792,0.072,10.013,7.484,0.326,4.402,37.478,1788.013,127.724,1522.93,991.893,161.277,22.337,109.995,4532.707,19.01,148.962
5,0.0,6.636,37.975,30.911,0.003,26.713,5.801,27.955,1809.485,259.71,1500.796,980.845,135.109,84.475,108.861,4575.662,8.621,165.641,0.0,1.584,1.719,18.569,0.723,9.977,5.292,37.191,1799.222,180.429,1522.998,989.501,151.325,51.047,109.467,4566.325,13.113,158.217,3.136,0.862,0.091,11.123,6.885,0.366,4.469,37.57,1793.387,143.883,1530.478,994.794,161.578,26.33,110.247,4562.231,18.446,150.086
6,0.0,6.287,40.4,30.68,0.003,25.33,5.86,27.97,1815.678,279.939,1509.772,984.131,136.405,86.748,109.125,4612.213,8.893,165.47,0.0,1.723,2.112,19.304,0.6,10.328,5.353,36.996,1805.386,199.288,1531.72,992.409,151.167,56.526,109.727,4598.787,12.813,158.919,2.958,0.936,0.114,12.206,6.368,0.415,4.575,37.489,1799.577,161.638,1539.642,997.908,161.759,31.787,110.476,4595.709,17.787,151.333
7,0.0,4.825,28.517,28.72,0.003,23.556,6.076,27.862,1816.657,273.806,1520.413,987.709,138.248,88.27,109.373,4628.113,9.413,165.024,0.0,1.586,1.61,19.141,0.646,9.435,5.466,36.446,1810.11,210.365,1540.972,995.806,152.207,59.811,109.966,4627.588,13.04,158.909,2.86,0.966,0.1,12.797,5.928,0.356,4.713,37.109,1805.479,177.291,1549.661,1001.251,161.907,37.035,110.679,4627.968,17.504,152.065
8,0.0,4.646,22.05,27.402,0.003,22.88,6.249,27.617,1818.276,268.95,1529.167,991.124,139.065,89.268,109.574,4639.937,9.682,164.823,0.0,1.429,1.166,18.377,0.717,8.049,5.617,35.975,1812.591,208.694,1549.074,999.576,153.975,58.425,110.169,4643.653,13.939,157.909,2.959,0.952,0.075,12.158,6.117,0.221,4.816,36.56,1808.507,177.911,1558.558,1005.064,162.423,36.465,110.903,4643.375,18.441,151.026
9,0.001,3.63,17.661,25.363,0.003,22.91,6.222,27.44,1818.94,257.739,1536.895,994.584,138.904,89.388,109.777,4641.81,9.86,164.806,0.0,1.29,0.907,17.022,0.828,7.497,5.663,35.798,1814.571,203.415,1556.87,1003.379,154.709,56.397,110.379,4652.686,14.636,157.12,3.036,0.928,0.06,10.867,6.435,0.188,4.852,36.31,1810.703,173.721,1566.804,1008.884,162.759,34.295,111.134,4652.321,19.437,149.805
