t_saat,AN_SO2,AN_SF,AN_SA,AN_SNH4,AN_SNO3,AN_SPO4,AN_SALK,AN_SN2,AN_XI,AN_XS,AN_XH,AN_XPAO,AN_XPP,AN_XPHA,AN_XAUT,AN_XTSS,AN_XMeOH,AN_XMeP,AX_SO2,AX_SF,AX_SA,AX_SNH4,AX_SNO3,AX_SPO4,AX_SALK,AX_SN2,AX_XI,AX_XS,AX_XH,AX_XPAO,AX_XPP,AX_XPHA,AX_XAUT,AX_XTSS,AX_XMeOH,AX_XMeP,AE_SO2,AE_SF,AE_SA,AE_SNH4,AE_SNO3,AE_SPO4,AE_SALK,AE_SN2,AE_XI,AE_XS,AE_XH,AE_XPAO,AE_XPP,AE_XPHA,AE_XAUT,AE_XTSS,AE_XMeOH,AE_XMeP
0,0.0,1.493,8.831,28.527,0.001,35.64,5.571,27.529,1900.288,218.469,1637.95,985.634,121.792,92.708,106.624,4698.031,4.979,164.094,0.0,0.795,0.49,12.263,0.457,9.304,4.99,37.594,1893.686,155.621,1662.958,997.498,148.864,32.471,107.242,4726.959,12.404,152.524,6.498,0.572,0.014,1.647,9.291,0.458,3.812,37.067,1886.322,118.87,1676.739,1001.106,159.446,4.662,108.267,4723.173,21.865,138.346
1,0.0,1.979,10.24,28.751,0.002,37.761,5.536,27.756,1901.077,216.026,1630.55,983.283,120.007,96.273,106.494,4683.957,5.202,163.692,0.0,0.746,0.373,12.761,1.042,10.304,4.886,38.187,1893.999,151.87,1656.255,995.626,147.854,34.449,107.14,4714.28,12.248,152.607,4.696,0.554,0.017,2.322,9.688,0.88,3.71,37.866,1886.528,115.814,1669.59,998.557,158.943,6.202,108.113,4711.28,21.63,138.53
2,0.0,2.23,13.566,27.912,0.001,39.254,5.502,28.08,1903.414,223.368,1624.467,982.05,118.879,99.317,106.435,4682.687,4.824,164.141,0.0,0.764,0.407,12.813,0.956,9.932,4.865,39.072,1894.918,152.152,1650.679,995.024,148.308,34.093,107.086,4710.669,12.069,152.774,4.703,0.556,0.016,2.517,10.198,0.608,3.613,38.605,1887.251,115.514,1662.783,998.145,159.182,5.878,108.124,4705.594,21.308,138.903
3,0.0,3.559,22.336,29.399,0.002,36.456,5.477,28.49,1906.818,241.538,1621.932,982.565,122.19,92.276,106.508,4703.069,5.872,162.746,0.0,0.903,0.621,13.311,1.494,11.199,4.8,39.056,1896.835,161.339,1646.233,994.262,147.213,37.121,107.146,4712.562,11.815,153.114,4.169,0.594,0.032,4.062,9.217,1.119,3.744,39.227,1889.824,124.534,1655.487,998.135,158.395,9.856,108.015,4708.252,19.209,141.937
4,0.0,4.324,28.695,32.594,0.002,30.42,5.628,28.743,1910.748,266.251,1622.215,985.47,128.655,79.829,106.634,4740.69,6.962,161.593,0.0,1.113,0.98,16.374,1.122,10.833,4.927,38.735,1900.792,183.884,1644.862,995.507,147.773,38.234,107.235,4735.15,11.438,153.944,3.69,0.677,0.055,7.549,7.664,1.148,4.019,39.195,1894.552,146.708,1651.982,1000.202,158.142,14.0,107.996,4729.932,16.835,145.625
5,0.0,3.686,32.887,34.648,0.002,29.84,5.669,28.747,1916.144,291.579,1621.194,987.76,129.113,81.37,106.707,4767.386,6.743,162.03,0.0,1.18,1.166,19.126,0.676,10.729,5.043,38.742,1905.478,205.197,1644.716,997.517,148.075,39.766,107.312,4758.457,11.329,154.398,3.625,0.726,0.056,10.025,7.515,0.702,4.102,39.083,1898.828,164.852,1653.183,1002.861,158.912,13.7,108.154,4752.712,17.054,145.628
6,0.0,4.758,34.049,34.517,0.002,29.258,5.693,28.758,1919.543,302.844,1623.172,990.38,130.042,80.787,106.865,4785.076,7.109,161.606,0.0,1.313,1.364,20.56,0.738,11.206,5.058,38.655,1909.864,221.871,1646.816,999.814,147.706,42.106,107.474,4778.551,11.317,154.574,3.407,0.781,0.072,12.202,7.192,1.016,4.177,39.108,1903.592,182.476,1655.237,1005.17,158.651,16.291,108.271,4774.442,16.708,146.344
7,0.0,8.01,38.783,32.871,0.003,25.255,5.812,28.641,1924.572,324.185,1629.524,994.191,134.463,73.473,107.035,4823.619,8.138,160.357,0.0,1.697,2.225,21.698,0.533,11.262,5.194,37.891,1914.927,243.838,1651.625,1002.469,147.967,44.481,107.616,4808.032,11.303,154.889,3.105,0.885,0.125,14.976,5.845,1.525,4.459,38.6,1909.427,206.803,1658.974,1007.783,158.155,21.519,108.286,4805.039,15.396,148.564
8,0.0,6.848,40.459,32.118,0.003,24.487,5.843,28.29,1930.047,348.934,1635.745,997.4,135.067,76.381,107.103,4858.636,8.13,160.673,0.0,1.724,2.708,22.234,0.343,11.927,5.316,37.028,1920.948,269.644,1657.309,1005.156,147.3,50.212,107.677,4841.061,10.89,155.792,3.003,0.941,0.138,15.876,5.446,1.315,4.633,37.761,1915.435,231.125,1666.049,1011.192,158.439,25.361,108.364,4840.794,15.017,149.427
9,0.0,3.943,28.916,30.593,0.002,25.616,5.973,27.99,1931.199,346.865,1640.93,1000.592,133.908,82.399,107.173,4865.535,7.726,161.382,0.0,1.444,1.631,21.58,0.444,11.123,5.371,36.68,1924.673,279.316,1662.768,1008.995,148.177,51.423,107.759,4863.072,11.057,155.773,3.058,0.915,0.09,15.147,5.932,0.71,4.619,37.29,1919.661,242.709,1673.108,1015.431,159.246,25.627,108.505,4865.42,15.784,148.56
