t_saat,KOI_giris,NH4_giris,PO4_giris,DO,KOI_cikis,NH4_cikis,PO4_cikis,SO2,SF,SA,SNH4,SNO3,SPO4,SALK,SN2,XI,XS,XH,XPAO,XPP,XPHA,XAUT,XTSS,XMeOH,XMeP
0,488.039,53.176,7.556,6.038,118.056,3.137,0.253,6.038,0.57,0.023,3.137,8.739,0.253,4.327,34.843,1773.696,84.138,1523.31,986.319,161.603,11.182,109.266,4476.938,22.982,142.991
1,512.046,47.917,7.602,4.314,115.454,3.646,0.178,4.314,0.592,0.018,3.646,9.844,0.178,4.106,35.707,1775.513,87.898,1521.355,987.296,161.753,10.359,109.521,4480.222,22.979,142.905
2,543.004,47.556,7.253,4.134,130.854,4.079,0.239,4.134,0.607,0.023,4.079,10.213,0.239,4.006,36.738,1777.782,92.133,1519.399,987.902,161.7,11.676,109.701,4484.617,22.589,143.388
3,527.703,57.051,7.563,3.573,117.004,6.781,0.368,3.573,0.695,0.05,6.781,8.764,0.368,4.215,37.299,1782.539,108.418,1518.201,989.347,161.204,17.988,109.786,4503.915,20.177,146.991
4,519.007,41.925,8.945,3.306,107.588,10.013,0.326,3.306,0.792,0.072,10.013,7.484,0.326,4.402,37.478,1788.013,127.724,1522.93,991.893,161.277,22.337,109.995,4532.707,19.01,148.962
5,560.189,47.005,8.034,3.136,125.472,11.123,0.366,3.136,0.862,0.091,11.123,6.885,0.366,4.469,37.57,1793.387,143.883,1530.478,994.794,161.578,26.33,110.247,4562.231,18.446,150.086
6,548.033,42.278,6.206,2.958,118.653,12.206,0.415,2.958,0.936,0.114,12.206,6.368,0.415,4.575,37.489,1799.577,161.638,1539.642,997.908,161.759,31.787,110.476,4595.709,17.787,151.333
7,363.63,37.515,6.511,2.86,101.564,12.797,0.356,2.86,0.966,0.1,12.797,5.928,0.356,4.713,37.109,1805.479,177.291,1549.661,1001.251,161.907,37.035,110.679,4627.968,17.504,152.065
8,395.784,36.608,5.929,2.959,104.043,12.158,0.221,2.959,0.952,0.075,12.158,6.117,0.221,4.816,36.56,1808.507,177.911,1558.558,1005.064,162.423,36.465,110.903,4643.375,18.441,151.026
9,316.254,31.786,5.312,3.036,92.276,10.867,0.188,3.036,0.928,0.06,10.867,6.435,0.188,4.852,36.31,1810.703,173.721,1566.804,1008.884,162.759,34.295,111.134,4652.321,19.437,149.805
10,289.469,29.206,4.324,3.1,94.548,9.43,0.169,3.1,0.901,0.052,9.43,6.39,0.169,4.882,35.984,1811.942,166.609,1573.061,1012.244,162.897,31.72,111.304,4655.374,20.178,148.996
11,282.223,24.495,4.93,3.352,93.276,7.24,0.123,3.352,0.87,0.038,7.24,6.752,0.123,4.819,35.718,1812.132,155.278,1578.765,1015.443,163.107,26.126,111.496,4651.873,21.67,147.032
12,259.059,23.261,4.937,3.479,91.111,5.132,0.139,3.479,0.825,0.035,5.132,6.757,0.139,4.786,35.584,1812.108,144.7,1582.143,1017.613,163.175,21.677,111.602,4646.104,22.533,145.883
13,192.951,20.211,3.681,4.065,85.025,2.676,0.098,4.065,0.788,0.022,2.676,7.228,0.098,4.678,35.577,1811.09,129.671,1585.489,1019.205,163.481,14.83,111.692,4634.525,24.253,143.383
14,87.209,16.25,5.496,4.338,82.48,1.69,0.136,4.338,0.713,0.02,1.69,6.464,0.136,4.748,35.553,1809.647,114.774,1584.22,1018.341,163.508,11.365,111.478,4617.551,25.101,142.073
15,127.713,19.805,5.306,4.914,81.941,1.055,0.142,4.914,0.647,0.017,1.055,5.731,0.142,4.824,34.979,1807.124,97.401,1580.38,1015.583,163.939,6.869,111.149,4594.106,26.744,139.609
16,224.891,18.11,4.875,5.296,88.997,0.804,0.225,5.296,0.578,0.017,0.804,5.428,0.225,4.847,34.576,1804.472,84.126,1574.671,1010.697,164.341,4.729,110.745,4571.201,28.501,136.926
17,64.165,20.312,4.013,5.344,81.079,0.794,0.249,5.344,0.544,0.016,0.794,5.234,0.249,4.908,34.226,1802.503,77.662,1566.861,1005.681,164.312,4.947,110.313,4552.577,28.655,136.516
18,284.44,25.596,5.484,5.29,95.794,0.929,0.261,5.29,0.513,0.017,0.929,5.279,0.261,4.928,33.784,1800.552,72.095,1557.461,1000.696,164.208,4.692,109.925,4532.84,28.68,136.317
19,288.04,30.38,5.851,5.303,95.253,0.97,0.265,5.303,0.51,0.016,0.97,5.796,0.265,4.841,33.561,1799.141,71.518,1548.929,996.124,164.14,4.872,109.64,4518.852,28.681,136.124
20,369.199,35.16,6.473,6.11,100.097,0.457,0.248,6.11,0.507,0.011,0.457,6.793,0.248,4.641,33.809,1797.046,66.017,1542.761,991.42,164.427,3.219,109.315,4501.855,30.266,133.515
21,340.27,43.246,7.644,5.956,101.68,0.578,0.324,5.956,0.467,0.012,0.578,7.278,0.324,4.523,34.246,1795.232,61.321,1534.196,985.89,164.331,4.255,108.812,4483.448,30.697,132.505
22,294.284,40.607,6.898,5.435,101.394,0.989,0.259,5.435,0.465,0.012,0.989,7.736,0.259,4.419,34.752,1794.958,62.71,1523.141,983.126,163.796,6.401,108.525,4471.759,28.432,135.488
23,458.588,47.033,8.716,4.926,114.012,1.716,0.237,4.926,0.482,0.015,1.716,8.17,0.237,4.329,35.234,1795.18,66.463,1512.799,981.834,163.285,8.117,108.424,4464.343,26.028,138.79
