t_saat,KOI_giris,NH4_giris,PO4_giris,DO,KOI_cikis,NH4_cikis,PO4_cikis,SO2,SF,SA,SNH4,SNO3,SPO4,SALK,SN2,XI,XS,XH,XPAO,XPP,XPHA,XAUT,XTSS,XMeOH,XMeP
0,421.463,51.982,7.261,6.498,113.088,1.647,0.458,6.498,0.572,0.014,1.647,9.291,0.458,3.812,37.067,1886.322,118.87,1676.739,1001.106,159.446,4.662,108.267,4723.173,21.865,138.346
1,416.257,44.062,8.195,4.696,112.568,2.322,0.88,4.696,0.554,0.017,2.322,9.688,0.88,3.71,37.866,1886.528,115.814,1669.59,998.557,158.943,6.202,108.113,4711.28,21.63,138.53
2,532.198,42.494,9.291,4.703,123.702,2.517,0.608,4.703,0.556,0.016,2.517,10.198,0.608,3.613,38.605,1887.251,115.514,1662.783,998.145,159.182,5.878,108.124,4705.594,21.308,138.903
3,548.598,54.32,8.828,4.169,119.072,4.062,1.119,4.169,0.594,0.032,4.062,9.217,1.119,3.744,39.227,1889.824,124.534,1655.487,998.135,158.395,9.856,108.015,4708.252,19.209,141.937
4,541.934,55.598,8.86,3.69,129.351,7.549,1.148,3.69,0.677,0.055,7.549,7.664,1.148,4.019,39.195,1894.552,146.708,1651.982,1000.202,158.142,14.0,107.996,4729.932,16.835,145.625
5,590.9,54.745,6.457,3.625,128.616,10.025,0.702,3.625,0.726,0.056,10.025,7.515,0.702,4.102,39.083,1898.828,164.852,1653.183,1002.861,158.912,13.7,108.154,4752.712,17.054,145.628
6,510.833,49.602,8.608,3.407,115.254,12.202,1.016,3.407,0.781,0.072,12.202,7.192,1.016,4.177,39.108,1903.592,182.476,1655.237,1005.17,158.651,16.291,108.271,4774.442,16.708,146.344
7,556.067,43.481,7.479,3.105,122.923,14.976,1.525,3.105,0.885,0.125,14.976,5.845,1.525,4.459,38.6,1909.427,206.803,1658.974,1007.783,158.155,21.519,108.286,4805.039,15.396,148.564
8,516.22,42.133,6.605,3.003,109.579,15.876,1.315,3.003,0.941,0.138,15.876,5.446,1.315,4.633,37.761,1915.435,231.125,1666.049,1011.192,158.439,25.361,108.364,4840.794,15.017,149.427
9,391.699,37.628,6.582,3.058,107.933,15.147,0.71,3.058,0.915,0.09,15.147,5.932,0.71,4.619,37.29,1919.661,242.709,1673.108,1015.431,159.246,25.627,108.505,4865.42,15.784,148.56
10,438.393,41.061,4.661,3.137,107.643,13.875,0.485,3.137,0.899,0.07,13.875,6.346,0.485,4.612,37.09,1922.074,243.112,1678.606,1019.64,159.805,22.83,108.632,4875.946,17.03,146.933
11,337.062,32.634,6.306,3.254,101.825,12.472,0.382,3.254,0.877,0.052,12.472,6.836,0.382,4.551,37.114,1923.919,239.903,1684.176,1023.474,160.099,19.113,108.784,4881.619,18.316,145.206
12,328.135,30.409,4.942,3.182,93.883,11.475,0.535,3.182,0.874,0.06,11.475,6.342,0.535,4.66,36.904,1925.351,237.351,1686.929,1025.971,160.005,18.012,108.811,4884.446,18.396,145.188
13,251.166,24.533,3.66,3.393,97.369,9.471,0.341,3.393,0.849,0.041,9.471,6.45,0.341,4.648,36.49,1925.603,230.116,1690.935,1028.279,160.366,14.07,108.905,4883.134,19.552,143.575
14,310.6,28.61,3.47,3.487,100.793,7.428,0.417,3.487,0.825,0.041,7.428,6.516,0.417,4.653,36.169,1925.1,219.634,1692.629,1028.819,160.27,11.121,108.944,4874.284,20.551,142.179
15,245.44,29.3,3.762,3.638,92.588,6.109,0.433,3.638,0.804,0.036,6.109,6.546,0.433,4.616,35.828,1924.679,211.49,1694.513,1028.421,160.141,9.033,108.978,4866.936,21.425,140.865
16,72.1,20.688,4.784,4.033,87.097,4.152,0.388,4.033,0.754,0.02,4.152,7.521,0.388,4.394,35.871,1923.021,193.413,1696.631,1026.901,160.272,5.735,109.088,4850.235,22.912,138.566
17,160.936,21.042,2.864,4.564,89.798,2.075,0.563,4.564,0.696,0.016,2.075,8.231,0.563,4.195,36.278,1920.498,168.408,1696.538,1022.767,160.326,3.567,109.07,4823.575,24.509,136.055
18,156.527,25.821,6.534,4.827,89.015,1.452,0.766,4.827,0.653,0.017,1.452,7.526,0.766,4.214,36.563,1918.058,149.146,1692.586,1017.754,159.992,3.554,108.772,4797.414,24.769,135.476
19,230.449,30.126,4.637,5.12,93.843,1.157,0.83,5.12,0.614,0.016,1.157,7.189,0.83,4.206,36.637,1915.394,133.256,1687.448,1012.839,159.839,3.117,108.468,4773.032,24.832,135.17
20,312.265,37.004,6.4,5.194,98.223,1.152,0.95,5.194,0.582,0.017,1.152,7.204,0.95,4.153,36.809,1913.204,122.07,1681.039,1007.848,159.516,3.337,108.154,4751.307,24.528,135.377
